model_type,config_id,config_params,fold,accuracy,notes
FCNN,9,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.0, 'l2_reg': 0.0, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",4,0.44949495792388916,
FCNN,9,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.0, 'l2_reg': 0.0, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",5,0.3978201746940613,
FCNN,10,"{'hidden_units': [128, 64], 'activation': 'tanh', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",1,0.489130437374115,
FCNN,10,"{'hidden_units': [128, 64], 'activation': 'tanh', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",2,0.553398072719574,
FCNN,10,"{'hidden_units': [128, 64], 'activation': 'tanh', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",3,0.5680473446846008,
FCNN,10,"{'hidden_units': [128, 64], 'activation': 'tanh', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",4,0.4292929172515869,
FCNN,10,"{'hidden_units': [128, 64], 'activation': 'tanh', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",5,0.4577656686306,
FCNN,11,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",1,0.5,
FCNN,11,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",2,0.6019417643547058,
FCNN,11,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",3,0.5207100510597229,
